UID          PID    PPID  C STIME TTY          TIME CMD
root          61       2  0 09:24 ?        00:00:00 [cpuhp/8]
root          62       2  0 09:24 ?        00:00:00 [idle_inject/8]
root          63       2  0 09:24 ?        00:00:00 [migration/8]
root          64       2  0 09:24 ?        00:00:00 [ksoftirqd/8]
root          66       2  0 09:24 ?        00:00:00 [kworker/8:0H-events_highpri]
root          67       2  0 09:24 ?        00:00:00 [cpuhp/9]
root          68       2  0 09:24 ?        00:00:00 [idle_inject/9]
root          69       2  0 09:24 ?        00:00:00 [migration/9]
root          70       2  0 09:24 ?        00:00:00 [ksoftirqd/9]
root          72       2  0 09:24 ?        00:00:00 [kworker/9:0H-events_highpri]
root          73       2  0 09:24 ?        00:00:00 [cpuhp/10]
root          74       2  0 09:24 ?        00:00:00 [idle_inject/10]
root          75       2  0 09:24 ?        00:00:00 [migration/10]
root          76       2  0 09:24 ?        00:00:00 [ksoftirqd/10]
root          78       2  0 09:24 ?        00:00:00 [kworker/10:0H-events_highpri]
root          79       2  0 09:24 ?        00:00:00 [cpuhp/11]
root          80       2  0 09:24 ?        00:00:00 [idle_inject/11]
root          81       2  0 09:24 ?        00:00:00 [migration/11]
root          82       2  0 09:24 ?        00:00:00 [ksoftirqd/11]
root          83       2  0 09:24 ?        00:00:00 [kworker/11:0-events]
root          84       2  0 09:24 ?        00:00:00 [kworker/11:0H-events_highpri]
root          85       2  0 09:24 ?        00:00:00 [cpuhp/12]
root          86       2  0 09:24 ?        00:00:00 [idle_inject/12]
root          87       2  0 09:24 ?        00:00:00 [migration/12]
root          88       2  0 09:24 ?        00:00:00 [ksoftirqd/12]
root          90       2  0 09:24 ?        00:00:00 [kworker/12:0H-events_highpri]
root          91       2  0 09:24 ?        00:00:00 [cpuhp/13]
root          92       2  0 09:24 ?        00:00:00 [idle_inject/13]
root          93       2  0 09:24 ?        00:00:00 [migration/13]
root          94       2  0 09:24 ?        00:00:00 [ksoftirqd/13]
root          96       2  0 09:24 ?        00:00:00 [kworker/13:0H-events_highpri]
root          97       2  0 09:24 ?        00:00:00 [cpuhp/14]
root          98       2  0 09:24 ?        00:00:00 [idle_inject/14]
root          99       2  0 09:24 ?        00:00:00 [migration/14]
root         100       2  0 09:24 ?        00:00:00 [ksoftirqd/14]
root         102       2  0 09:24 ?        00:00:00 [kworker/14:0H-events_highpri]
root         103       2  0 09:24 ?        00:00:00 [cpuhp/15]
root         104       2  0 09:24 ?        00:00:00 [idle_inject/15]
root         105       2  0 09:24 ?        00:00:00 [migration/15]
root         106       2  0 09:24 ?        00:00:00 [ksoftirqd/15]
root         108       2  0 09:24 ?        00:00:00 [kworker/15:0H-events_highpri]
root         109       2  0 09:24 ?        00:00:00 [cpuhp/16]
root         110       2  0 09:24 ?        00:00:00 [idle_inject/16]
root         111       2  0 09:24 ?        00:00:00 [migration/16]
root         112       2  0 09:24 ?        00:00:00 [ksoftirqd/16]
root         114       2  0 09:24 ?        00:00:00 [kworker/16:0H-events_highpri]
root         115       2  0 09:24 ?        00:00:00 [cpuhp/17]
root         116       2  0 09:24 ?        00:00:00 [idle_inject/17]
root         117       2  0 09:24 ?        00:00:00 [migration/17]
root         118       2  0 09:24 ?        00:00:00 [ksoftirqd/17]
root         120       2  0 09:24 ?        00:00:00 [kworker/17:0H-events_highpri]
root         121       2  0 09:24 ?        00:00:00 [cpuhp/18]
root         122       2  0 09:24 ?        00:00:00 [idle_inject/18]
root         123       2  0 09:24 ?        00:00:00 [migration/18]
root         124       2  0 09:24 ?        00:00:00 [ksoftirqd/18]
root         126       2  0 09:24 ?        00:00:00 [kworker/18:0H-events_highpri]
root         127       2  0 09:24 ?        00:00:00 [cpuhp/19]
root         128       2  0 09:24 ?        00:00:00 [idle_inject/19]
root         129       2  0 09:24 ?        00:00:00 [migration/19]
root         130       2  0 09:24 ?        00:00:00 [ksoftirqd/19]
root         132       2  0 09:24 ?        00:00:00 [kworker/19:0H-events_highpri]
root         133       2  0 09:24 ?        00:00:00 [cpuhp/20]
root         134       2  0 09:24 ?        00:00:00 [idle_inject/20]
root         135       2  0 09:24 ?        00:00:00 [migration/20]
root         136       2  0 09:24 ?        00:00:00 [ksoftirqd/20]
root         138       2  0 09:24 ?        00:00:00 [kworker/20:0H-events_highpri]
root         139       2  0 09:24 ?        00:00:00 [cpuhp/21]
root         140       2  0 09:24 ?        00:00:00 [idle_inject/21]
root         141       2  0 09:24 ?        00:00:00 [migration/21]
root         142       2  0 09:24 ?        00:00:00 [ksoftirqd/21]
root         144       2  0 09:24 ?        00:00:00 [kworker/21:0H-events_highpri]
root         145       2  0 09:24 ?        00:00:00 [cpuhp/22]
root         146       2  0 09:24 ?        00:00:00 [idle_inject/22]
root         147       2  0 09:24 ?        00:00:00 [migration/22]
root         148       2  0 09:24 ?        00:00:00 [ksoftirqd/22]
root         150       2  0 09:24 ?        00:00:00 [kworker/22:0H-events_highpri]
root         151       2  0 09:24 ?        00:00:00 [cpuhp/23]
root         152       2  0 09:24 ?        00:00:00 [idle_inject/23]
root         153       2  0 09:24 ?        00:00:00 [migration/23]
root         154       2  0 09:24 ?        00:00:00 [ksoftirqd/23]
root         156       2  0 09:24 ?        00:00:00 [kworker/23:0H-events_highpri]
root         157       2  0 09:24 ?        00:00:00 [cpuhp/24]
root         158       2  0 09:24 ?        00:00:00 [idle_inject/24]
root         159       2  0 09:24 ?        00:00:00 [migration/24]
root         160       2  0 09:24 ?        00:00:00 [ksoftirqd/24]
root         162       2  0 09:24 ?        00:00:00 [kworker/24:0H-events_highpri]
root         163       2  0 09:24 ?        00:00:00 [cpuhp/25]
root         164       2  0 09:24 ?        00:00:00 [idle_inject/25]
root         165       2  0 09:24 ?        00:00:00 [migration/25]
root         166       2  0 09:24 ?        00:00:00 [ksoftirqd/25]
root         168       2  0 09:24 ?        00:00:00 [kworker/25:0H-events_highpri]
root         169       2  0 09:24 ?        00:00:00 [cpuhp/26]
root         170       2  0 09:24 ?        00:00:00 [idle_inject/26]
root         171       2  0 09:24 ?        00:00:00 [migration/26]
root         172       2  0 09:24 ?        00:00:00 [ksoftirqd/26]
root         174       2  0 09:24 ?        00:00:00 [kworker/26:0H-events_highpri]
root         175       2  0 09:24 ?        00:00:00 [cpuhp/27]
root         176       2  0 09:24 ?        00:00:00 [idle_inject/27]
root         177       2  0 09:24 ?        00:00:00 [migration/27]
root         178       2  0 09:24 ?        00:00:00 [ksoftirqd/27]
root         180       2  0 09:24 ?        00:00:00 [kworker/27:0H-events_highpri]
root         181       2  0 09:24 ?        00:00:00 [cpuhp/28]
root         182       2  0 09:24 ?        00:00:00 [idle_inject/28]
root         183       2  0 09:24 ?        00:00:00 [migration/28]
root         184       2  0 09:24 ?        00:00:00 [ksoftirqd/28]
root         186       2  0 09:24 ?        00:00:00 [kworker/28:0H-events_highpri]
root         187       2  0 09:24 ?        00:00:00 [cpuhp/29]
root         188       2  0 09:24 ?        00:00:00 [idle_inject/29]
root         189       2  0 09:24 ?        00:00:00 [migration/29]
root         190       2  0 09:24 ?        00:00:00 [ksoftirqd/29]
root         192       2  0 09:24 ?        00:00:00 [kworker/29:0H-events_highpri]
root         193       2  0 09:24 ?        00:00:00 [cpuhp/30]
root         194       2  0 09:24 ?        00:00:00 [idle_inject/30]
root         195       2  0 09:24 ?        00:00:00 [migration/30]
root         196       2  0 09:24 ?        00:00:00 [ksoftirqd/30]
root         198       2  0 09:24 ?        00:00:00 [kworker/30:0H-events_highpri]
root         199       2  0 09:24 ?        00:00:00 [cpuhp/31]
root         200       2  0 09:24 ?        00:00:00 [idle_inject/31]
root         201       2  0 09:24 ?        00:00:00 [migration/31]
root         202       2  0 09:24 ?        00:00:00 [ksoftirqd/31]
root         204       2  0 09:24 ?        00:00:00 [kworker/31:0H-events_highpri]
root         205       2  0 09:24 ?        00:00:00 [kdevtmpfs]
root         206       2  0 09:24 ?        00:00:00 [inet_frag_wq]
root         207       2  0 09:24 ?        00:00:00 [kauditd]
root         211       2  0 09:24 ?        00:00:00 [khungtaskd]
root         212       2  0 09:24 ?        00:00:00 [oom_reaper]
root         213       2  0 09:24 ?        00:00:00 [writeback]
root         214       2  0 09:24 ?        00:00:00 [kcompactd0]
root         215       2  0 09:24 ?        00:00:00 [ksmd]
root         216       2  0 09:24 ?        00:00:00 [khugepaged]
root         228       2  0 09:24 ?        00:00:00 [kworker/8:1-events]
root         265       2  0 09:24 ?        00:00:00 [kintegrityd]
root         266       2  0 09:24 ?        00:00:00 [kblockd]
root         267       2  0 09:24 ?        00:00:00 [blkcg_punt_bio]
root         269       2  0 09:24 ?        00:00:00 [tpm_dev_wq]
root         270       2  0 09:24 ?        00:00:00 [ata_sff]
root         271       2  0 09:24 ?        00:00:00 [md]
root         272       2  0 09:24 ?        00:00:00 [edac-poller]
root         273       2  0 09:24 ?        00:00:00 [devfreq_wq]
root         275       2  0 09:24 ?        00:00:00 [watchdogd]
root         276       2  0 09:24 ?        00:00:00 [kworker/0:1H-kblockd]
root         278       2  0 09:24 ?        00:00:00 [kswapd0]
root         279       2  0 09:24 ?        00:00:00 [ecryptfs-kthrea]
root         281       2  0 09:24 ?        00:00:00 [kthrotld]
root         282       2  0 09:24 ?        00:00:00 [irq/123-aerdrv]
root         283       2  0 09:24 ?        00:00:00 [irq/123-pciehp]
root         284       2  0 09:24 ?        00:00:00 [irq/124-aerdrv]
root         285       2  0 09:24 ?        00:00:00 [irq/125-aerdrv]
root         286       2  0 09:24 ?        00:00:00 [irq/128-pciehp]
root         287       2  0 09:24 ?        00:00:00 [irq/130-pciehp]
root         288       2  0 09:24 ?        00:00:00 [acpi_thermal_pm]
root         289       2  0 09:24 ?        00:00:00 [kworker/u64:2-ext4-rsv-conversion]
root         291       2  0 09:24 ?        00:00:00 [kworker/13:1-events]
root         292       2  0 09:24 ?        00:00:00 [kworker/5:1-events]
root         293       2  0 09:24 ?        00:00:00 [vfio-irqfd-clea]
root         294       2  0 09:24 ?        00:00:00 [mld]
root         295       2  0 09:24 ?        00:00:00 [ipv6_addrconf]
root         304       2  0 09:24 ?        00:00:00 [kstrp]
root         305       2  0 09:24 ?        00:00:00 [kworker/2:1-cgroup_destroy]
root         306       2  0 09:24 ?        00:00:00 [kworker/6:1-mm_percpu_wq]
root         308       2  0 09:24 ?        00:00:00 [kworker/17:1-events]
root         309       2  0 09:24 ?        00:00:00 [kworker/18:1-rcu_gp]
root         310       2  0 09:24 ?        00:00:00 [kworker/20:1-rcu_par_gp]
root         311       2  0 09:24 ?        00:00:00 [kworker/24:1-mm_percpu_wq]
root         312       2  0 09:24 ?        00:00:00 [kworker/25:1-events]
root         314       2  0 09:24 ?        00:00:00 [kworker/28:1-mm_percpu_wq]
root         315       2  0 09:24 ?        00:00:00 [kworker/31:1-mm_percpu_wq]
root         316       2  0 09:24 ?        00:00:00 [kworker/3:1-events]
root         317       2  0 09:24 ?        00:00:00 [kworker/7:1-mm_percpu_wq]
root         318       2  0 09:24 ?        00:00:00 [kworker/15:1-events]
root         319       2  0 09:24 ?        00:00:00 [kworker/19:1-mm_percpu_wq]
root         320       2  0 09:24 ?        00:00:00 [kworker/22:1-mm_percpu_wq]
root         321       2  0 09:24 ?        00:00:00 [kworker/27:1-mm_percpu_wq]
root         322       2  0 09:24 ?        00:00:00 [kworker/30:1-events]
root         325       2  0 09:24 ?        00:00:00 [zswap-shrink]
root         327       2  0 09:24 ?        00:00:00 [kworker/3:2]
root         328       2  0 09:24 ?        00:00:00 [kworker/4:2-events]
root         331       2  0 09:24 ?        00:00:00 [kworker/7:2-events]
root         333       2  0 09:24 ?        00:00:00 [kworker/9:1-events]
root         336       2  0 09:24 ?        00:00:00 [kworker/11:1-rcu_par_gp]
root         339       2  0 09:24 ?        00:00:00 [kworker/13:2-mm_percpu_wq]
root         340       2  0 09:24 ?        00:00:00 [kworker/14:2-mm_percpu_wq]
root         341       2  0 09:24 ?        00:00:00 [kworker/15:2]
root         342       2  0 09:24 ?        00:00:00 [kworker/16:1-events]
root         344       2  0 09:24 ?        00:00:00 [kworker/17:2-rcu_par_gp]
root         346       2  0 09:24 ?        00:00:00 [kworker/19:2]
root         348       2  0 09:24 ?        00:00:00 [kworker/21:1-mm_percpu_wq]
root         350       2  0 09:24 ?        00:00:00 [kworker/22:2-cgroup_destroy]
root         351       2  0 09:24 ?        00:00:00 [kworker/23:1-mm_percpu_wq]
root         352       2  0 09:24 ?        00:00:00 [kworker/23:2-rcu_gp]
root         353       2  0 09:24 ?        00:00:00 [kworker/24:2-pm]
root         354       2  0 09:24 ?        00:00:00 [kworker/25:2]
root         356       2  0 09:24 ?        00:00:00 [kworker/27:2-rcu_par_gp]
root         357       2  0 09:24 ?        00:00:00 [kworker/28:2]
root         358       2  0 09:24 ?        00:00:00 [kworker/29:1-mm_percpu_wq]
root         359       2  0 09:24 ?        00:00:00 [kworker/29:2]
root         360       2  0 09:24 ?        00:00:00 [kworker/30:2]
root         361       2  0 09:24 ?        00:00:00 [kworker/31:2-mm_percpu_wq]
root         362       2  0 09:24 ?        00:00:00 [kworker/u65:0-rb_allocator]
root         365       2  0 09:24 ?        00:00:00 [kworker/0:3-rcu_par_gp]
root         370       2  0 09:24 ?        00:00:00 [charger_manager]
root         392       2  0 09:24 ?        00:00:00 [kworker/10:1H-kblockd]
root         440       2  0 09:24 ?        00:00:00 [kworker/6:1H-kblockd]
root         454       2  0 09:24 ?        00:00:00 [nvme-wq]
root         459       2  0 09:24 ?        00:00:00 [nvme-reset-wq]
root         463       2  0 09:24 ?        00:00:00 [nvme-delete-wq]
root         481       2  0 09:24 ?        00:00:00 [kworker/18:1H-kblockd]
root         485       2  0 09:24 ?        00:00:00 [kworker/8:1H-kblockd]
root         486       2  0 09:24 ?        00:00:00 [kworker/17:1H-kblockd]
root         487       2  0 09:24 ?        00:00:00 [kworker/4:1H-kblockd]
root         488       2  0 09:24 ?        00:00:00 [kworker/u64:4-ext4-rsv-conversion]
root         516       2  0 09:24 ?        00:00:00 [jbd2/nvme0n1p8-]
root         517       2  0 09:24 ?        00:00:00 [ext4-rsv-conver]
root         521       2  0 09:24 ?        00:00:00 [kworker/1:1H-kblockd]
root         523       2  0 09:24 ?        00:00:00 [kworker/12:1H-kblockd]
root         555       2  0 09:24 ?        00:00:00 [kworker/20:1H-kblockd]
root         556       2  0 09:24 ?        00:00:00 [kworker/14:1H-kblockd]
root         561       2  0 09:24 ?        00:00:00 [kworker/2:1H-kblockd]
root         562       1  0 09:24 ?        00:00:00 /lib/systemd/systemd-journald
root         584       2  0 09:24 ?        00:00:00 [kworker/5:1H-kblockd]
root         604       1  0 09:24 ?        00:00:00 /lib/systemd/systemd-udevd
root         658       2  0 09:24 ?        00:00:00 [kworker/19:1H-kblockd]
root         692       2  0 09:24 ?        00:00:00 [kworker/15:1H-kblockd]
root         693       2  0 09:24 ?        00:00:00 [kworker/9:1H-kblockd]
root         694       2  0 09:24 ?        00:00:00 [kworker/7:1H-kblockd]
root         695       2  0 09:24 ?        00:00:00 [kworker/23:1H-kblockd]
root         696       2  0 09:24 ?        00:00:00 [kworker/24:1H-kblockd]
root         701       2  0 09:24 ?        00:00:00 [kworker/26:1H-kblockd]
root         704       2  0 09:24 ?        00:00:00 [kworker/27:1H-kblockd]
root         712       2  0 09:24 ?        00:00:00 [kworker/3:1H-kblockd]
root         718       2  0 09:24 ?        00:00:00 [cryptd]
root         723       2  0 09:24 ?        00:00:00 [cfg80211]
root         725       2  0 09:24 ?        00:00:00 [irq/182-mei_me]
root         726       2  0 09:24 ?        00:00:00 [kworker/25:1H-kblockd]
root         735       2  0 09:24 ?        00:00:00 [kworker/28:1H-kblockd]
root         771       2  0 09:24 ?        00:00:00 [kworker/29:1H-kblockd]
root         793       2  0 09:24 ?        00:00:00 [kworker/22:1H-kblockd]
root         794       2  0 09:24 ?        00:00:00 [kworker/11:1H-kblockd]
root         795       2  0 09:24 ?        00:00:00 [irq/183-iwlwifi]
root         796       2  0 09:24 ?        00:00:00 [irq/184-iwlwifi]
root         798       2  0 09:24 ?        00:00:00 [irq/185-iwlwifi]
root         799       2  0 09:24 ?        00:00:00 [irq/186-iwlwifi]
root         800       2  0 09:24 ?        00:00:00 [irq/187-iwlwifi]
root         801       2  0 09:24 ?        00:00:00 [irq/188-iwlwifi]
root         802       2  0 09:24 ?        00:00:00 [irq/189-iwlwifi]
root         803       2  0 09:24 ?        00:00:00 [irq/190-iwlwifi]
root         804       2  0 09:24 ?        00:00:00 [irq/191-iwlwifi]
root         805       2  0 09:24 ?        00:00:00 [irq/192-iwlwifi]
root         806       2  0 09:24 ?        00:00:00 [irq/193-iwlwifi]
root         807       2  0 09:24 ?        00:00:00 [irq/194-iwlwifi]
root         808       2  0 09:24 ?        00:00:00 [irq/195-iwlwifi]
root         810       2  0 09:24 ?        00:00:00 [irq/196-iwlwifi]
root         811       2  0 09:24 ?        00:00:00 [irq/197-iwlwifi]
root         812       2  0 09:24 ?        00:00:00 [irq/198-iwlwifi]
root         813       2  0 09:24 ?        00:00:00 [kworker/30:1H-kblockd]
root         817       2  0 09:24 ?        00:00:00 [kworker/21:1H-kblockd]
root         911       2  0 09:24 ?        00:00:00 [kworker/31:1H-kblockd]
root         924       2  0 09:24 ?        00:00:00 [jbd2/nvme0n1p9-]
root         925       2  0 09:24 ?        00:00:00 [ext4-rsv-conver]
root         927       2  0 09:24 ?        00:00:00 [kworker/16:1H-kblockd]
systemd+     953       1  0 09:24 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     954       1  0 09:24 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         982       1  0 09:24 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         983       1  0 09:24 ?        00:00:00 /usr/sbin/acpid
avahi        986       1  0 09:24 ?        00:00:00 avahi-daemon: running [hitcrt-OMEN-Gaming-Laptop-16-wf0032TX.local]
root         987       1  0 09:24 ?        00:00:00 /usr/sbin/cron -f
root         989       1  0 09:24 ?        00:00:00 /usr/sbin/cupsd -l
message+     990       1  0 09:24 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         993       1  0 09:24 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root         999       1  0 09:24 ?        00:00:00 /usr/sbin/irqbalance --foreground
root        1001       1  0 09:24 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        1005       1  0 09:24 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog      1009       1  0 09:24 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        1013       1  0 09:24 ?        00:00:00 /usr/lib/snapd/snapd
root        1015       1  0 09:24 ?        00:00:00 /usr/libexec/switcheroo-control
root        1028       1  0 09:24 ?        00:00:00 /lib/systemd/systemd-logind
root        1032       1  0 09:24 ?        00:00:00 /usr/lib/udisks2/udisksd
root        1033       1  0 09:24 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi       1035     986  0 09:24 ?        00:00:00 avahi-daemon: chroot helper
root        1074       1  0 09:24 ?        00:00:00 /usr/sbin/cups-browsed
root        1078       1  0 09:24 ?        00:00:00 /usr/sbin/ModemManager
root        1080       1  0 09:24 ?        00:00:00 /usr/libexec/boltd
root        1110       2  0 09:24 ?        00:00:00 [kworker/u65:1-hci0]
root        1160       2  0 09:24 ?        00:00:00 [USBC000:00-con0]
root        1177       1  0 09:24 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1179       2  0 09:24 ?        00:00:00 [USBC000:00-con0]
root        1196       1  0 09:24 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root        1206       2  0 09:24 ?        00:00:00 [kworker/13:1H-kblockd]
whoopsie    1302       1  0 09:24 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    1307       1  0 09:24 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1314       1  0 09:24 ?        00:00:00 /usr/sbin/kerneloops
root        1321       1  0 09:24 ?        00:00:00 /usr/sbin/gdm3
root        1326    1321  0 09:24 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
hitcrt      1331       1  0 09:24 ?        00:00:00 /lib/systemd/systemd --user
hitcrt      1332    1331  0 09:24 ?        00:00:00 (sd-pam)
hitcrt      1337    1331  0 09:24 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
hitcrt      1340       1  0 09:24 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
hitcrt      1344    1326  0 09:24 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
root        1346    1344  4 09:24 tty2     00:01:50 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
rtkit       1347       1  0 09:24 ?        00:00:00 /usr/libexec/rtkit-daemon
hitcrt      1350    1331  0 09:24 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
hitcrt      1358    1344  0 09:24 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
root        1428       2  0 09:24 ?        00:00:00 [krfcommd]
hitcrt      1430    1358  0 09:24 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
hitcrt      1447    1331  0 09:24 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
hitcrt      1452    1447  0 09:24 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
hitcrt      1525    1331  0 09:24 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
hitcrt      1532    1331  0 09:24 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
hitcrt      1546    1331 21 09:24 ?        00:08:37 /usr/bin/gnome-shell
hitcrt      1595    1331  0 09:24 ?        00:00:00 /usr/libexec/gvfsd
hitcrt      1600    1331  0 09:24 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
hitcrt      1615    1546  0 09:24 ?        00:00:06 ibus-daemon --panel disable --xim
hitcrt      1619    1615  0 09:24 ?        00:00:00 /usr/libexec/ibus-dconf
hitcrt      1620    1615  0 09:24 ?        00:00:03 /usr/libexec/ibus-extension-gtk3
hitcrt      1622    1331  0 09:24 ?        00:00:01 /usr/libexec/ibus-x11 --kill-daemon
hitcrt      1625    1331  0 09:24 ?        00:00:00 /usr/libexec/ibus-portal
hitcrt      1638    1331  0 09:24 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
hitcrt      1642    1331  0 09:24 ?        00:00:00 /usr/libexec/xdg-permission-store
hitcrt      1647    1331  0 09:24 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
hitcrt      1653    1331  0 09:24 ?        00:00:00 /usr/libexec/evolution-source-registry
hitcrt      1661    1331  0 09:24 ?        00:00:00 /usr/libexec/goa-daemon
root        1662       1  0 09:24 ?        00:00:00 /usr/lib/upower/upowerd
hitcrt      1666    1331  0 09:24 ?        00:00:00 /usr/libexec/evolution-calendar-factory
hitcrt      1673    1331  0 09:24 ?        00:00:00 /usr/libexec/dconf-service
hitcrt      1683    1331  0 09:24 ?        00:00:00 /usr/libexec/goa-identity-service
hitcrt      1695    1331  0 09:24 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
hitcrt      1709    1331  0 09:24 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
hitcrt      1720    1331  0 09:24 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
hitcrt      1729    1331  0 09:24 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
hitcrt      1739    1331  0 09:24 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
hitcrt      1748    1331  0 09:24 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
hitcrt      1760    1331  0 09:24 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
hitcrt      1773    1595  0 09:24 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.27 /org/gtk/gvfs/exec_spaw/0
hitcrt      1786    1331  0 09:24 ?        00:00:00 /usr/libexec/gsd-a11y-settings
